job_id,subtime,start_time,finish_time,waiting_time
34821,98239,100939.0,101204.0,2700.0
34823,98516,101216.0,101345.0,2700.0
34844,101644,101644.0,101661.0,0.0
34838,101060,101091.0,101674.0,31.0
34845,101690,101690.0,102185.0,0.0
34848,102047,102185.0,102466.0,138.0
34829,99464,102508.0,102515.0,3044.0
34853,102678,102678.0,102758.0,0.0
34834,100102,102802.0,102816.0,2700.0
34855,102958,102958.0,103208.0,0.0
34857,103229,103229.0,103315.0,0.0
34861,103428,103428.0,103554.0,0.0
34850,102192,104892.0,104901.0,2700.0
34849,102189,104889.0,104913.0,2700.0
34865,104033,106733.0,106911.0,2700.0
34864,103956,106656.0,107329.0,2700.0
34866,104250,106911.0,107347.0,2661.0
34869,104692,107392.0,107399.0,2700.0
34868,104688,107388.0,107407.0,2700.0
34878,105678,107329.0,107502.0,1651.0
34881,106054,107399.0,107542.0,1345.0
34887,106499,107407.0,107552.0,908.0
34892,107013,107552.0,107557.0,539.0
34891,106987,107542.0,107564.0,555.0
34893,107024,107557.0,107564.0,533.0
34889,106820,107502.0,107697.0,682.0
34876,105062,107762.0,108149.0,2700.0
34871,104794,107347.0,108314.0,2553.0
34879,105812,110564.0,110735.0,4752.0
34901,107979,110679.0,110918.0,2700.0
34917,109566,110918.0,111020.0,1352.0
34895,107503,111014.0,111212.0,3511.0
34883,106310,110564.0,111236.0,4254.0
34927,111224,111224.0,111242.0,0.0
34902,108061,110735.0,111252.0,2674.0
34905,108588,111288.0,111294.0,2700.0
34904,108580,111280.0,111302.0,2700.0
34906,108597,111297.0,111306.0,2700.0
34909,108870,111212.0,111444.0,2342.0
34907,108628,111328.0,111589.0,2700.0
34930,111550,111550.0,111687.0,0.0
34908,108716,111252.0,111707.0,2536.0
34913,109337,111707.0,111990.0,2370.0
34918,109815,111990.0,112450.0,2175.0
34921,110725,112450.0,112868.0,1725.0
34928,111235,112868.0,113069.0,1633.0
34940,113036,113069.0,113286.0,33.0
34942,113447,113447.0,113855.0,0.0
34936,112418,115118.0,115178.0,2700.0
34938,112766,115466.0,115559.0,2700.0
34957,116555,119255.0,119527.0,2700.0
34959,116876,119527.0,119918.0,2651.0
34969,117950,119918.0,119922.0,1968.0
34970,118066,119918.0,119934.0,1852.0
34966,117663,119918.0,119937.0,2255.0
34961,117269,119969.0,119977.0,2700.0
34962,117474,120174.0,120263.0,2700.0
34979,119151,119937.0,120330.0,786.0
34971,118127,119922.0,120436.0,1795.0
34797,96116,125236.0,125241.0,29120.0
34818,97626,125241.0,125565.0,27615.0
34820,98012,125565.0,125759.0,27553.0
34824,98749,125759.0,125997.0,27010.0
34835,100231,125997.0,126164.0,25766.0
34954,115330,126164.0,126220.0,10834.0
34955,115454,126220.0,126987.0,10766.0
35017,126975,126987.0,127037.0,12.0
35018,127058,127058.0,127332.0,0.0
34972,118130,126987.0,136183.0,8857.0
35019,127339,138883.0,149813.0,11544.0
35069,151501,154613.0,154680.0,3112.0
35068,150853,154613.0,154799.0,3760.0
35072,153425,154680.0,154805.0,1255.0
35074,154608,154805.0,154978.0,197.0
35073,154165,154799.0,155005.0,634.0
35075,155047,155047.0,155443.0,0.0
35070,152781,155481.0,155678.0,2700.0
35071,153105,155805.0,156027.0,2700.0
35020,138273,149813.0,160737.0,11540.0
35076,157831,160531.0,160951.0,2700.0
35088,161478,164178.0,164275.0,2700.0
35092,162089,164275.0,164293.0,2186.0
35103,163448,164575.0,164596.0,1127.0
35110,163931,164596.0,164609.0,665.0
35111,163980,164609.0,164617.0,629.0
35098,162665,164275.0,164728.0,1610.0
35115,164743,164743.0,164758.0,0.0
35116,164750,164758.0,164781.0,8.0
35101,163265,164728.0,164966.0,1463.0
35121,165180,165180.0,165200.0,0.0
35122,165208,165208.0,165220.0,0.0
35123,165226,165226.0,165243.0,0.0
35077,158950,160737.0,165715.0,1787.0
35089,161850,165751.0,165828.0,3901.0
35099,162773,165715.0,165934.0,2942.0
35104,163648,165715.0,166069.0,2067.0
35091,162011,165751.0,166222.0,3740.0
35112,164169,165934.0,166327.0,1765.0
35114,164460,166327.0,166613.0,1867.0
35118,164903,166613.0,166888.0,1710.0
35125,165285,166888.0,167095.0,1603.0
35137,167845,171022.0,171231.0,3177.0
35144,168372,171231.0,171243.0,2859.0
35145,168377,171231.0,171246.0,2854.0
35146,168432,171246.0,171533.0,2814.0
35148,168856,171533.0,172078.0,2677.0
35140,168077,171895.0,172193.0,3818.0
35157,169941,172193.0,172204.0,2252.0
35158,169945,172193.0,172215.0,2248.0
35173,171852,172193.0,172216.0,341.0
35174,171862,172216.0,172339.0,354.0
35156,169884,172193.0,172427.0,2309.0
35153,169536,172078.0,172486.0,2542.0
35159,170027,172427.0,172585.0,2400.0
35166,170978,172486.0,172891.0,1508.0
35162,170355,172585.0,172908.0,2230.0
35161,170207,172486.0,172961.0,2279.0
35171,171592,172961.0,173219.0,1369.0
35164,170933,172908.0,173368.0,1975.0
35177,179095,181795.0,182010.0,2700.0
35178,179420,182120.0,182430.0,2700.0
35179,179794,182430.0,182724.0,2636.0
35184,180315,182724.0,183104.0,2409.0
35187,180766,183104.0,183383.0,2338.0
35185,180697,183397.0,183420.0,2700.0
35186,180709,183409.0,183421.0,2700.0
35192,181987,183383.0,183764.0,1396.0
35195,182573,183764.0,184058.0,1191.0
35193,182369,185069.0,185084.0,2700.0
35194,182517,185217.0,185317.0,2700.0
35197,182732,185432.0,185576.0,2700.0
35200,182869,185569.0,185593.0,2700.0
35202,183135,185835.0,185843.0,2700.0
35205,184034,186810.0,186896.0,2776.0
35208,184151,186896.0,187843.0,2745.0
35218,187067,189767.0,189891.0,2700.0
35219,187348,190048.0,190147.0,2700.0
35224,194565,197265.0,197686.0,2700.0
35228,196702,197686.0,198058.0,984.0
35230,197623,198058.0,198074.0,435.0
35203,183212,184058.0,199041.0,846.0
35225,195022,199041.0,199517.0,4019.0
35226,195553,199402.0,199852.0,3849.0
35227,196201,199517.0,199970.0,3316.0
35229,197118,199818.0,200405.0,2700.0
35231,204527,207227.0,218152.0,2700.0
35232,215458,218152.0,218239.0,2694.0
35255,218476,218476.0,218871.0,0.0
35258,218873,218873.0,218899.0,0.0
35262,218950,223039.0,223055.0,4089.0
35284,221165,223865.0,223961.0,2700.0
35285,221312,224012.0,224158.0,2700.0
35288,221545,224245.0,224372.0,2700.0
35312,224822,227522.0,227644.0,2700.0
35313,224974,227674.0,227779.0,2700.0
35261,218948,218948.0,229875.0,0.0
35366,230770,233470.0,233597.0,2700.0
35368,230968,233668.0,233786.0,2700.0
35374,231339,234039.0,234137.0,2700.0
35375,231472,234172.0,234283.0,2700.0
35421,236883,239583.0,239742.0,2700.0
35428,237128,239828.0,239924.0,2700.0
